Freq (hertz)	Ze (ohms)	ZePhase (deg)
   10.00	    6.72	   24.03
   10.14	    6.75	   24.40
   10.29	    6.77	   24.77
   10.44	    6.79	   25.15
   10.59	    6.82	   25.54
   10.74	    6.85	   25.94
   10.90	    6.87	   26.34
   11.05	    6.90	   26.74
   11.21	    6.93	   27.16
   11.37	    6.96	   27.58
   11.54	    7.00	   28.01
   11.70	    7.03	   28.45
   11.87	    7.06	   28.90
   12.04	    7.10	   29.35
   12.22	    7.14	   29.81
   12.39	    7.18	   30.28
   12.57	    7.22	   30.76
   12.75	    7.27	   31.25
   12.94	    7.31	   31.74
   13.12	    7.36	   32.25
   13.31	    7.41	   32.76
   13.50	    7.47	   33.29
   13.70	    7.52	   33.82
   13.89	    7.58	   34.37
   14.10	    7.64	   34.92
   14.30	    7.71	   35.49
   14.50	    7.78	   36.06
   14.71	    7.85	   36.65
   14.92	    7.93	   37.25
   15.14	    8.01	   37.86
   15.36	    8.10	   38.48
   15.58	    8.19	   39.12
   15.80	    8.28	   39.76
   16.03	    8.39	   40.42
   16.26	    8.50	   41.09
   16.50	    8.61	   41.78
   16.73	    8.74	   42.48
   16.98	    8.87	   43.19
   17.22	    9.01	   43.91
   17.47	    9.17	   44.65
   17.72	    9.33	   45.41
   17.97	    9.51	   46.17
   18.23	    9.70	   46.95
   18.50	    9.91	   47.75
   18.76	   10.13	   48.56
   19.03	   10.38	   49.38
   19.31	   10.65	   50.21
   19.59	   10.94	   51.05
   19.87	   11.27	   51.91
   20.15	   11.62	   52.77
   20.44	   12.02	   53.63
   20.74	   12.47	   54.51
   21.04	   12.97	   55.37
   21.34	   13.54	   56.24
   21.65	   14.18	   57.09
   21.96	   14.92	   57.91
   22.28	   15.78	   58.70
   22.60	   16.79	   59.44
   22.92	   17.98	   60.09
   23.25	   19.41	   60.63
   23.59	   21.16	   61.01
   23.93	   23.34	   61.14
   24.27	   26.13	   60.90
   24.62	   29.80	   60.09
   24.98	   34.79	   58.36
   25.34	   41.85	   55.08
   25.70	   52.20	   48.96
   26.07	   67.20	   37.45
   26.45	   83.83	   16.61
   26.83	   85.21	  -12.04
   27.21	   68.01	  -35.29
   27.61	   50.87	  -48.39
   28.00	   39.02	  -55.06
   28.41	   31.08	  -58.28
   28.82	   25.56	  -59.54
   29.23	   21.58	  -59.62
   29.65	   18.60	  -58.91
   30.08	   16.29	  -57.64
   30.51	   14.48	  -55.96
